compound_name,cas_number,smiles,primary_category,secondary_category,tertiary_category,primary_action,biological_description,Mol Weight
A 939572,[1032229-33-6],O=C(NC3=CC(C(NC)=O)=CC=C3)N1CCC(OC2=C(Cl)C=CC=C2)CC1,Enzymes,Oxygenases/Oxidases,Stearoyl-CoA 9-desaturase,Potent SCD-1 inhibitor,Potent stearoyl-CoA desaturase 1 (SCD1) inhibitor (IC50 = 0.4 nM). Selective for SCD1 over a range of kinases and hERG channels. Inhibits proliferation of squamous cell carcinoma FaDu cells in vitro. Also induces cell death of undifferentiated human embryonic stem cells (ESCs). Orally bioavailable.,387.86
A 967079,[1170613-55-4],FC1=CC=C(/C=C(C)/C(CC)=N/O)C=C1,Ion Channels,Transient Receptor Potential Channels,TRPA1,Selective TRPA1 channel blocker,"Selective TRPA1 channel blocker (IC50 values are 67 and 289 nM at human and rat TRPA1 receptors respectively). Displays 1000-fold selectivity for TRPA1 over other TRP channels, and is >150-fold selective over 75 other ion channels, enzymes and G-protein-coupled receptors. Exhibits analgesic effects in a rat osteoarthritic pain model.",207.24
A 987306,[1082954-71-9],NC3=NC1=C(C(N4CCNCC4)=N3)CCC2=C1[C@@](CCCC5)([H])[C@@]5([H])O2,7-TM Receptors,Histamine Receptors,Histamine H4 Receptors,Potent and selective H4 antagonist,"Potent histamine H4 receptor antagonist (pKi values are 8.24 and 8.47 in human and rat H4 receptors respectively). Displays 162-fold, 620-fold, and > 1600-fold selectivity over human H3, H1 and H2 receptors. Blocks zymosan-induced neutrophil reflux and attenuates thermal hypersensitivity in vivo (ED50 = 42 mumol/kg, ip).",327.42
A-7 hydrochloride,[79127-24-5],Cl.NCCCCCCCCCCNS(=O)(=O)C1=C2C=CC=C(Cl)C2=CC=C1,Signal Transduction,Calcium Signaling,Calcium Binding Protein,Calmodulin antagonist,Potent calmodulin antagonist (inhibits calmodulin-activated PDE activity with an IC50 of 3 muM).,433.44
A12B4C3,[1005129-80-5],O=C2N(C4=CC=CC=C4)C(C1C=CC(C(O)CCCCCCCCCC)N(NC3=CC=C([N+]([O-])=O)C=C3)C12)=O,Enzymes,Kinases,Other Kinases,Potent and selective polynucleotide kinase/phosphatase (PNKP) inhibitor,"Potent and selective polynucleotide kinase/phosphatase (PNKP) inhibitor (IC50 = 60 nM). Displays no effect on calcineurin, protein PP-1 or APTX. Interrupts DNA repair and enhances radiosensitivity of human A549 lung carcinoma and MDA-MB-231 cells.",534.65
A66,[1166227-08-2],CC(C)(C)C1=NC(C2=C(C)N=C(NC(N3[C@H](C(N)=O)CCC3)=O)S2)=CS1,Enzymes,Kinases,PI 3-Kinase,Potent and selective PI 3-kinase p110alpha inhibitor,Potent and selective PI 3-kinase p110alpha inhibitor (IC50 = 32 nM). Exhibits >100-fold selectivity for p110alpha over other PI 3-kinase isoforms. Inhibits Akt signaling and tumor growth in SK-OV-3 xenografts in mice.,393.53
AA 29504,[945828-50-2],NC1=C(NC(OCC)=O)C=CC(NCC2=C(C)C=C(C)C=C2C)=C1,Ion Channels,Ligand-gated Ion Channels,GABAA and A-rho Receptors,Positive allosteric modulator of GABAA receptors,"Positive allosteric modulator of GABAA receptors. Modulates both alpha4beta3delta-containing extrasynaptic receptors and alpha1beta3gamma2S-containing receptors in Xenopus oocytes, displaying a stronger modulatory effect at the former. Reduces motor coordination and exhibits anxiolytic effects in vivo.",327.42
Abacavir hemisulfate,[188062-50-2],OS(O)(=O)=O.NC1=NC(NC2CC2)=C2N=CN(C3C[C@H](CO)C=C3)C2=N1.NC1=NC(NC2CC2)=C2N=CN(C3C[C@H](CO)C=C3)C2=N1,Enzymes,Polymerases,RNA/DNA Polymerase,Reverse transcriptase inhibitor; antiretroviral,Competitive reverse transcriptase inhibitor; inhibits HIV replication. Orally active and brain penetrant. Antiretroviral agent.,335.37
ABT 751,[141430-65-1],OC(C=C2)=CC=C2NC1=NC=CC=C1NS(C3=CC=C(OC)C=C3)(=O)=O,Cytoskeleton and Motor Proteins,Microtubules,,Inhibitor of microtubule polymerization; antimitotic and antitumor,"Antimitotic agent, inhibits microtubule polymerization. Binds to beta-tubulin on the colchine site; blocks cell cycle at G2M phase and induces apoptosis. Exhibits antitumor activity. Also displays activity in cell lines resistant to vincristine, doxorubicin and cisplatin. Orally bioavailable.",371.41
AC 186,[1421854-16-1],FC1(F)CCC(C2=C(F)C=CC=C2)(C3=CC=C(O)C=C3)CC1,Nuclear Receptors,Estrogen and Related Receptors,,Potent and selective ERbeta agonist; neuroprotective,Potent and selective ERbeta agonist (EC50 values are 6 and 5000 nM for ERbeta and ERalpha respectively). Exhibits gender selective neuroprotective effects in a male rat model of Parkinson's disease. Decreases Abeta levels in combination with ACP-105 in a rat model of Alzheimer's disease.,306.32
AC 261066,[870773-76-5],CC1=C(OCCOCCCC)N=C(C2=CC=C(C(O)=O)C(F)=C2)S1,Nuclear Receptors,Retinoic Acid Receptors,,RARbeta2 agonist,"Potent RARbeta2 agonist (pEC50 = 8.1). Selective over RARbeta1, RARalpha and RARgamma (pEC50 values are 6.4, 6.2 and 6.3 respectively). More potent and orally available than AC 55649 (Cat. No. 2436).",353.41
AC 264613,[1051487-82-1],O=C1[C@@H]([C@](N/N=C(C)/C3=CC=CC(Br)=C3)=O)[C@H]([C@]2=CC=CC=C2)CN1,7-TM Receptors,Peptide Receptors,Protease-Activated Receptors,PAR2 receptor agonist,"Potent and selective protease-activated receptor 2 (PAR2) agonist (pEC50 = 7.5). Displays no activity at other PAR subtypes and exhibits no significant activity at over 30 other receptors implicated in nociception and inflammation. Stimulates PI hydrolysis, Ca2+ mobilization and cellular proliferation in vitro (pEC50 values are 6.9, 7.0 and 7.5 respectively).",400.27
AC 5216,[226954-04-7],O=C(N1C)N(CC(N(CC)CC2=CC=CC=C2)=O)C3=C1C=NC(C4=CC=CC=C4)=N3,Other Pharmacology,Translocator Protein,,Selective TSPO ligand,"Ligand of translocator protein (TSPO, peripheral benzodiazepine receptor). Exhibits high affinity for TSPO in rat whole brain (Ki = 0.297 nM), and high potency against human and rat glial TSPO (IC50 values are 2.73 and 3.04 nM respectively). Displays no noticeable binding to a number of other receptors, transporters or ion channels. Also displays anxiolytic and antidepressant effects in rodent models, without inducing benzodiazepine-like adverse effects.",401.46
AC 55649,[59662-49-6],CCCCCCCCC1=CC=C(C=C1)C1=CC=C(C=C1)C(O)=O,Nuclear Receptors,Retinoic Acid Receptors,,Selective RARbeta2 agonist,"Potent, isoform-selective RARbeta2 receptor agonist (pEC50 values are 6.9, 5.7 and 5.6 at RARbeta2, RARbeta1 and RARalpha respectively) that displays 100-fold selectivity versus other retinoid receptors. Inhibits proliferation of the breast cancer cell line MCF-7.",310.44
AC 710,[1351522-04-7],CC(C2)(C)N(CC)C(C)(C)CC2OC1=CC=C(C(NC3=CC=C(NC(NC4=NOC(C(C)(C)C)=C4)=O)C=C3)=O)N=C1,Enzyme-Linked Receptors,Receptor Tyrosine Kinases (RTKs),PDGFR,Potent and selective PDGFR family inhibitor,"Potent PDGFR family inhibitor (IC50 values are 1.2, 2, 7.7 and 10.5 nM for KIT, FLT3, PDGFRbeta and CSF1R respectively; Kd = 1.3 nM for PDGFRalpha). Exhibits >30-fold selectivity over a panel of other kinases and exhibits no activity against cytochrome P450. Causes tumor regression of leukemia cell xenografts in mice. Also reduces joint swelling and inflammation in a mouse model of collagen-induced arthritis. Orally active.",562.7
Acarbose,[56180-94-0],C[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@H](O[C@@H]3[C@@H](CO)O[C@@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O,Enzymes,Glycosylases,,Glucosidase alpha inhibitor (intestinal),Inhibitor of intestinal alpha-glucosidase (IC50 = 11 nM). Antidiabetic; inhibits the hydrolysis of complex carbohydrates.,645.25
Acetaminophen,[103-90-2],CC(=O)NC1=CC=C(O)C=C1,Enzymes,Oxygenases/Oxidases,Cyclooxygenase,Cyclooxygenase inhibitor; may be selective for COX-3,"Cyclooxygenase inhibitor; may be selective for COX-3 (IC50 values are 460, > 1000 and > 1000 muM for canine COX-3, and murine COX-1 and COX-2 respectively). Widely used analgesic and antipyretic agent.",151.16
Acifran,[72420-38-3],CC1(OC(=CC1=O)C(O)=O)C1=CC=CC=C1,7-TM Receptors,Hydroxycarboxylic Acid Receptors,,Hypolipidemic agent; agonist for the GPR109A (HM74A) and GPR109B receptors,"Hypolipidemic agent. Exhibits higher potency than nicotinic acid and clofibrate. Full and potent agonist at the human orphan GPCR HM74A/GPR109A and GPR109B (EC50 values are 1.3 and 4.2 muM respectively). Reduces serum triglycerides and circulating LDL-cholesterol in vivo, without affecting liver weight or liver enzymes.",218.21
Acipimox,[51037-30-0],CC1=CN=C(C(O)=O)C=[N+]1[O-],Cell Metabolism,Lipid Metabolism,Other Lipid Metabolism,Antilipolytic agent,"Antilipolytic agent; lowers plasma free fatty acid (FFA), triglyceride (TG), glucose and insulin levels and increases leptin levels.",154.12
ACT 462206,[1361321-96-1],CC1=CC(NC([C@@H]2CCCN2S(C3=CC=C(OC)C=C3)(=O)=O)=O)=CC(C)=C1,7-TM Receptors,Peptide Receptors,Orexin Receptors,"Potent, dual orexin receptor antagonist","Potent, dual orexin receptor antagonist (IC50 values are 11 and 60 nM for OX2 and OX1 receptors respectively). Exhibits anxiolytic-like properties in vivo. Brain penetrant.",388.48
Acyclovir,[59277-89-3],NC1=NC(=O)C2=C(N1)N(COCCO)C=N2,Enzymes,Polymerases,RNA/DNA Polymerase,Inhibits viral DNA polymerase; antiherpetic agent,"Antiviral agent, active against herpes simplex viruses HSV-1 and HSV-2 (EC50 values are 0.85 and 0.86 muM respectively). Interferes with viral DNA polymerization through competitive inhibition with guanosine triphosphate. Induces apoptosis in cells transfected with HSV-TK (suicidal gene therapy).",225.21
Adapalene,[106685-40-9],COC1=CC=C(C3=CC=C(C=C(C(O)=O)C=C4)C4=C3)C=C1C25CC(C6)CC(CC6C5)C2,Nuclear Receptors,Retinoic Acid Receptors,,RARbeta and RARgamma agonist,"Retinoic acid analog that is a RARbeta and RARgamma agonist (AC50 values are 2.2, 9.3, 22 and > 1000 nM for RARbeta, RARgamma, RARalpha and RXRalpha receptors respectively). Inhibits proliferation and induces apoptosis in colorectal cancer cell in vitro. Displays comedolytic activity.",412.52
AdipoRon hydrochloride,[1781835-20-8],O=C(C2=CC=C(OCC(NC3CCN(CC4=CC=CC=C4)CC3)=O)C=C2)C1=CC=CC=C1.Cl,7-TM Receptors,Peptide Receptors,Other Peptide Receptors,Orally active AdipoR1 and AdipoR2 agonist; antidiabetic,"Agonist of adiponectin receptors AdipoR1 and AdipoR2 (Kd values are 1.8 and 3.1 muM respectively). Activates AMPK and PPARalpha signaling; ameliorates insulin resistance, dyslipidemia and glucose intolerance in db/db mice. Orally active antidiabetic agent.",464.98
ADX 10059 hydrochloride,[757949-98-7],CC1=CC(C)=NC(C#CC2=CC=CC(F)=C2)=C1N.Cl,7-TM Receptors,Glutamate (Metabotropic) Receptors,Glutamate (Metabotropic) Group I Receptors,Negative allosteric modulator of mGlu5 receptors,Reported to be a negative allosteric modulator at the mGlu5 receptor. Analog of MPEP (Cat. No. 1212).,276.74
AEE 788,[497839-62-0],C[C@@H](NC2=C(C=C(C4=CC=C(CN5CCN(CC)CC5)C=C4)N3)C3=NC=N2)C1=CC=CC=C1,Enzyme-Linked Receptors,Receptor Tyrosine Kinases (RTKs),EGFR,Potent EGFR and VEGFR inhibitor,"Potent EGFR and VEGFR inhibitor (IC50 values are 2, 6, 59, 77, 160 and 330 nM for EGFR, ErbB2, VEGFR-1, VEGFR-2, ErbB4 and VEGFR-3 respectively). Also inhibits c-Abl, c-Fms and c-Src (IC50 values are 52, 60 and 61 nM respectively). Inhibits proliferation of EGFR and ErbB2 overexpressing cancer cell lines in vitro. Inhibits tumor xenograft growth and VEGF-induced angiogenesis in mice. Orally active.",440.58
AEG 3482,[63735-71-7],NS(=O)(=O)C1=NN2C=C(N=C2S1)C1=CC=CC=C1,Enzymes,Kinases,MAPK Family,Inhibitor of JNK signaling,"Inhibitor of c-jun N-terminal kinase (JNK) signaling. Binds Hsp90 and facilitates HSF1 release, induces expression of Hsp70, which in turn blocks JNK activation and JNK-dependent apoptosis. Antiapoptotic; inhibits NGF withdrawal-induced death in SCG neurons (EC50 = 20 muM).",280.33
AH 6809,[33458-93-4],CC(C)OC1=CC=C2C(OC3=C(C=C(C=C3)C(O)=O)C2=O)=C1,7-TM Receptors,Prostanoid Receptors,,EP1 and EP2 receptor antagonist,Antagonist at prostaglandin EP1 (pA2 = 6.8) and EP2 (Ki = 350 nM) receptors. Also weakly inhibits DP receptors (pA2 = 4.45).,298.3
AH 7614,[6326-06-3],CC(C=C4)=CC=C4S(NC2C3=C(C=CC=C3)OC1=CC=CC=C12)(=O)=O,7-TM Receptors,Free Fatty Acid Receptors,,Selective FFA4 (GPR120) antagonist,Selective free fatty acid receptor 4 (FFA4/GPR120) antagonist (pIC50 values are 7.1 and <4.6 for human FFA4 and FFA1 receptors respectively). Inhibits linoleic acid and GSK 137647A-induced intracellular calcium accumulation in U2OS osteosarcoma cells expressing the FFA4 receptor.,351.42
AICAR,[2627-69-2],O[C@@H]1[C@@H](CO)O[C@@H](N2C=NC(C(N)=O)=C2N)[C@@H]1O,Enzymes,Kinases,AMPK,AMPK activator,"Cell-permeable, allosteric activator of AMP-activated protein kinase (AMPK). Augments proliferation, differentiation and mineralization of osteoblastic MC3T3-EI cells and attenuates psychosine-induced expression of proinflammatory cytokines and iNOS in astrocytes. Promotes osteogenic differentiation of hAMSCs and BM-MSCs in vitro.",258.23
AIM 100,[873305-35-2],C1(C(C4=CC=CC=C4)=C(C5=CC=CC=C5)O3)=C3N=CN=C1NC[C@H]2OCCC2,Enzymes,Kinases,Ack1,Potent and selective Ack1 (TNK2) inhibitor,"Potent Ack1 (TNK2) inhibitor (IC50 = 22 nM). Exhibits selectivity for Ack1 over ABL1, BTK, Lck and LYN; exhibits no inhibition of 25 other kinases. Suppresses phosphorylation of Tyr267 of the androgen receptor in prostate cancer cells. Also suppresses growth of radioresistant castration-resistant prostate cancer in xenograft tumors in mice. Also promotes DAT endocytosis and oligomerization.",371.43
AK 7,[420831-40-9],O=C(NC2=CC(Br)=CC=C2)C1=CC(S(N3CCCCCC3)(=O)=O)=CC=C1,Enzymes,Histone Deacetylases,Class III HDACs (Sirtuins),Selective SIRT2 inhibitor; brain penetrant,Selective SIRT2 inhibitor (IC50 = 15.5 muM); displays no effect on SIRT1 or SIRT3. Decreases neuronal cholesterol levels; improves motor function and ameliorates brain atrophy in a mouse model of Huntington's disease. Brain penetrant.,437.35
AL 8697,[1057394-06-5],CC1=C(F)C=C(C(NC4CC4)=O)C=C1C3=C(F)C2=NN=C(C(C)(C)C)N2C=C3F,Enzymes,Kinases,MAPK Family,Potent and selective p38alpha inhibitor,Potent and selective p38alpha inhibitor (IC50 = 6 nM). Exhibits 14-fold greater inhibition of p38alpha compared to p38beta; also displays 300-fold selectivity for p38alpha compared to a panel of 91 kinases. Exhibits anti-inflammatory properties.,402.41
Alantolactone,[546-43-0],O=C3C([C@@]2([H])C=C1[C@@H](C)CCC[C@@](C)1C[C@]([H])2O3)=C,Enzyme-Linked Receptors,Receptor Serine/Threonine Kinases (RSTKs),BMP and Other Activin Receptors,Antiproliferative; induces activin/Smad3 signaling,Sesquiterpene lactone. Induces activin/SMAD3 signaling and disrupts Cripto-1/activin receptor type II A interaction. Displays antiproliferative activity in human colon adenocarcinoma HCT-8 cells.,232.32
Alda 1,[349438-38-6],O=C(C3=C(Cl)C=CC=C3Cl)NCC1=CC(OCO2)=C2C=C1,Enzymes,Dehydrogenases,Aldehyde Dehydrogenase,ALDH2 activator; cardioprotective,Activator of aldehyde dehydrogenase 2 (ALDH2). Increases activity of wild-type ALDH2*1 and variant ALDH2*2 (by ~2-fold and 11-fold respectively). Capable of partly restoring mutant ALDH2*2 activity; protective against cardiac ischemia.,324.16
Aliskiren hemifumarate,[173334-58-2],COC1=C(OCCCOC)C=C(C[C@H]([C@@H](C)C)C[C@@H]([C@@H](O)C[C@@H]([C@@H](C)C)C(NCC(C)(C)C(N)=O)=O)N)C=C1.COC2=C(OCCCOC)C=C(C[C@H]([C@@H](C)C)C[C@@H]([C@@H](O)C[C@@H]([C@@H](C)C)C(NCC(C)(C)C(N)=O)=O)N)C=C2.O=C(/C=C/C(O)=O)O,Enzymes,Proteases,Other Proteases,Potent renin inhibitor; antihypertensive,Potent renin inhibitor (IC50 = 0.6 and 80 nM for human and rat respectively). Exhibits selectivity for renin over a range of other aspartic proteinases (>5000 nM). Lowers blood pressure in a hypertensive rodent model. Orally active.,609.83
Allopregnanolone,[516-54-1],C[C@@]12[C@](CC[C@]3([H])[C@]2([H])CC[C@@]4(C)[C@@]3([H])CC[C@@H]4C(C)=O)([H])C[C@H](O)CC1,Ion Channels,Ligand-gated Ion Channels,GABAA and A-rho Receptors,Positive allosteric modulator of GABAA receptors,GABAA receptor positive allosteric modulator. Neuroactive steroid. Deuterated analog also available. ,318.49
Altanserin hydrochloride,[1135280-78-2],Cl.FC1=CC=C(C=C1)C(=O)C1CCN(CCN2C(=S)NC3=CC=CC=C3C2=O)CC1,7-TM Receptors,5-HT Receptors,5-HT2 Receptors,5-HT2A receptor antagonist,"Potent and selective 5-HT2A receptor antagonist (Ki values are 0.13, 4.55, 40, 62 and 1570 nM at 5-HT2A, alpha1, 5-HT2C, D2 and 5-HT1A respectively). Centrally active following systemic administration in vivo.",447.95
ALX 5407 hydrochloride,[200006-08-2],FC(C=C2)=CC=C2[C@@H](CCN(CC(O)=O)C)OC1=CC=C(C3=CC=CC=C3)C=C1.Cl,Transporters,Neurotransmitter Transporters,Glycine Transporters,Selective non-transportable GlyT1 inhibitor,"Selective non-transportable inhibitor of the glycine transporter GlyT1 (IC50 values are 3 nM and > 100 muM for human GlyT1c and GlyT2 respectively). Does not recognize other glycine sites, including the glycine site on the NMDA receptor (IC50 > 100 muM). Racemate also available.",429.92
AM 92016 hydrochloride,[133229-11-5],Cl.CN(CCC1=CC(Cl)=C(Cl)C=C1)CC(O)COC1=CC=C(NS(C)(=O)=O)C=C1,Ion Channels,Potassium Channels,Voltage-Gated Potassium Channels,KV channel blocker,"A specific blocker of the time dependent delayed rectifier potassium current, devoid of any beta-adrenoceptor blocking activity. Exhibits proarrhythmic and prohypertensive activity in vivo.",483.84
Ambroxol hydrochloride,[23828-92-4],NC1=C(Br)C=C(Br)C=C1CN[C@H]2CC[C@H](O)CC2.Cl,Ion Channels,Sodium Channels,Voltage-gated Sodium Channels,Na+ channel blocker,"Sodium channel blocker and mucolytic agent with antioxidant, anti-viral and anti-inflammatory properties. Inhibits tetrodotoxin (TTX)-resistant channels more potently than TTX-sensitive subtypes (IC50 values for tonic block are 35.2 and 111.5 muM respectively). Inhibits release of histamine, leukotrienes and cytokines from human leukocytes and mast cells.",414.57
AMD 3465 hexahydrobromide,[185991-07-5],C1(CN3CCCNCCNCCCNCC3)=CC=C(CNCC2=NC=CC=C2)C=C1.Br.Br.Br.Br.Br.Br,7-TM Receptors,Chemokine Receptors,Chemokine CXC Receptors,Potent and selective CXCR4 antagonist,"Potent, selective CXCR4 antagonist; exhibits 8-fold higher affinity than AMD 3100 (Cat.No. 3299). Inhibits SDF-1alpha-ligand binding (Ki = 41.7 nM). Potently inhibits HIV cell entry in vitro; causes leukocytosis and mobilizes haematopoietic stem cells in vivo.",896.07
AMG 548,[864249-60-5],O=C1N(C)C(NC[C@@H](N)CC5=CC=CC=C5)=NC(C4=CC=NC=C4)=C1C3=CC2=C(C=C3)C=CC=C2,Enzymes,Kinases,MAPK Family,Potent and selective p38alpha inhibitor,"Potent and selective inhibitor of p38alpha (Ki values are 0.5, 3.6, 2600 and 4100 nM for p38alpha, p38beta, p38gamma and p38delta respectively). Displays >1000-fold selectivity against 36 other kinases; inhibits whole blood LPS-stimulated TNFalpha (IC50 = 3 nM). Efficacious in acute and chronic models of arthritis.",461.56
AMG 9810,[545395-94-6],CC(C)(C)C1=CC=C(C=C1)\C=C\C(=O)NC1=CC=C2OCCOC2=C1,Ion Channels,Transient Receptor Potential Channels,TRPV,"Potent and selective, competitive antagonist of TRPV1","Potent and selective, competitive vanilloid TRPV1 receptor antagonist (IC50 = 17 nM). Inhibits capsaicin-, proton-, heat- and endogenous ligand-induced activation of human and rat recombinant TRPV1 receptors. Displays antihyperalgesic properties in a rat model of inflammatory pain.",337.42
AMG PERK 44,,CC2=NC1=CC=C(C3=C(N)C(C(C4=C(C5=CC=CC=C5)N(C)N(C6=CC=CC=C6)C4=O)=O)=CC=C3C)C=C1C=C2.Cl,Enzymes,Kinases,PERK,Potent and selective PERK inhibitor; orally bioavailable,"Potent and selective PERK inhibitor (IC50 = 6 nM). Exhibits >160-fold selectivity for PERK over B-Raf and GCN2, as well as a panel of 387 other kinases. Orally bioavailable.",561.07
Aminopurvalanol A,[220792-57-4],ClC1=CC(N)=CC(NC2=C3C(N(C(C)C)C=N3)=NC(N[C@H]([C@@H](C)C)CO)=N2)=C1,Enzymes,Kinases,Cyclin-dependent Kinase,"Selective cdk inhibitor; potently inhibits cdk1, cdk2 and cdk5","Cyclin-dependent kinase (cdk) inhibitor (reported IC50 values are 20 - 35 nM for cdk1, cdk2 and cdk5). Also inhibits ERK1 (IC50 = 12.0 muM) and ERK2 (IC50 = 3.1 muM) and is 3000-fold selective over a range of other protein kinases (IC50 >100 muM). Arrests cell cycle at G2/M boundary (IC50 = 1.25 muM), and induces apoptosis at concentrations >10 muM. Cell permeable.",403.91
