commercial_name,alternative_name,clinical_phase,mechanism_of_action,target,disease_area,indication
OLOPATADINE HCl,,Launched,histamine receptor antagonist,HRH1|S100A1|S100A12|S100A13|S100A2|S100B,ophthalmology,conjunctivitis
Olopatadine hydrochloride,Opatanol,Launched,histamine receptor antagonist,HRH1|S100A1|S100A12|S100A13|S100A2|S100B,ophthalmology,conjunctivitis
OMEPRAZOLE,,Launched,ATPase inhibitor,ATP4A|CLCN2,gastroenterology,heartburn
OMEPRAZOLE,,Launched,ATPase inhibitor,ATP4A|CLCN2,gastroenterology,heartburn
Omeprazole,Prilosec ,Launched,ATPase inhibitor,ATP4A|CLCN2,gastroenterology,heartburn
Ondansetron HCl,Zofran ,Launched,serotonin receptor antagonist,HTR1A|HTR1B|HTR3A|HTR3B|HTR4|OPRM1,gastroenterology,nausea|vomiting
Ondansetron HCl,Zofran,Launched,serotonin receptor antagonist,HTR1A|HTR1B|HTR3A|HTR3B|HTR4|OPRM1,gastroenterology,nausea|vomiting
ONDANSETRON hydrochloride,,Launched,serotonin receptor antagonist,HTR1A|HTR1B|HTR3A|HTR3B|HTR4|OPRM1,gastroenterology,nausea|vomiting
ORBIFLOXACIN,,Launched,bacterial DNA gyrase inhibitor,,infectious disease,urinary tract infections
ORLISTAT,,Launched,lipase inhibitor,CNR1|DAGLA|DAGLB|FASN|LIPF|PNLIP,endocrinology,weight-loss aid
Orlistat,"Alli, Xenical",Launched,lipase inhibitor,CNR1|DAGLA|DAGLB|FASN|LIPF|PNLIP,endocrinology,weight-loss aid
Ornidazole,,Launched,antiprotozoal agent,,infectious disease,protozoan infection
Orphenadrine citrate,Norflex ,Launched,acetylcholine receptor antagonist,GRIN1|GRIN2D|GRIN3A|GRIN3B|HRH1|SCN10A|SLC6A2,neurology/psychiatry,muscle pain
Oseltamivir phosphate,Tamiflu ,Launched,neuraminidase inhibitor,CES1|NEU1|NEU2,infectious disease,influenza A virus infection
OSI-420,Desmethyl Erlotinib ,Preclinical,EGFR inhibitor,EGFR,oncology,
Otilonium Bromide,,Launched,acetylcholine receptor antagonist,CACNA1C,gastroenterology,irritable bowel syndrome
Oxacillin sodium monohydrate,,Launched,bacterial cell wall synthesis inhibitor,,infectious disease,staphylococcal infections
Oxaliplatin,Eloxatin,Launched,DNA inhibitor,,oncology,colorectal cancer
Oxcarbazepine,,Launched,sodium channel blocker,SCN10A|SCN11A|SCN1A|SCN2A|SCN3A|SCN4A|SCN5A|SCN7A|SCN8A|SCN9A,neurology/psychiatry,seizures
Oxfendazole,,Launched,anthelmintic agent,,infectious disease,lungworms|tapeworm|gastrointestinal roundworms
OXIBENDAZOLE,,Launched,tubulin polymerization inhibitor,TUBB|TUBB4B,infectious disease,strongyles
Oxibendazole,,Launched,tubulin polymerization inhibitor,TUBB|TUBB4B,infectious disease,strongyles
OXICONAZOLE NITRATE,,Launched,bacterial cell wall synthesis inhibitor,,infectious disease,tinea pedis|tinea cruris|tinea corporis
Oxybutynin,Ditropan ,Launched,acetylcholine receptor antagonist,CHRM1|CHRM2|CHRM3,urology,urinary incontinence
Oxybutynin,Ditropan,Launched,acetylcholine receptor antagonist,CHRM1|CHRM2|CHRM3,urology,urinary incontinence
Oxymetazoline hydrochloride,,Launched,adrenergic receptor agonist,ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|HTR1B|HTR1D|HTR2C,otolaryngology,nasal congestion
Oxytetracycline,Terramycin ,Launched,bacterial 30S ribosomal subunit inhibitor,,infectious disease|urology,chlamydia|urinary tract infections|skin infections|ear infections|gonorrhea|urethritis|Lyme disease
Oxytetracycline,Terramycin,Launched,bacterial 30S ribosomal subunit inhibitor,,infectious disease|urology,chlamydia|urinary tract infections|skin infections|ear infections|gonorrhea|urethritis|Lyme disease
Ozagrel HCl,,Launched,thromboxane synthase inhibitor,TBXAS1,neurology/psychiatry,stroke
Ozagrel HCl,,Launched,thromboxane synthase inhibitor,TBXAS1,neurology/psychiatry,stroke
PACLITAXEL,,Launched,tubulin polymerization inhibitor,BCL2|MAP2|MAP4|MAPT|NR1I2|TLR4|TUBB|TUBB1,oncology,ovarian cancer|breast cancer|non-small cell lung cancer (NSCLC)
Paclitaxel,Taxol,Launched,tubulin polymerization inhibitor,BCL2|MAP2|MAP4|MAPT|NR1I2|TLR4|TUBB|TUBB1,oncology,ovarian cancer|breast cancer|non-small cell lung cancer (NSCLC)
Paeoniflorin,,Preclinical,anticonvulsant,,,
Paliperidone,Invega,Launched,dopamine receptor antagonist|serotonin receptor antagonist,ADRA1A|ADRA1B|ADRA2A|ADRA2B|ADRA2C|CYP2D6|CYP3A4|CYP3A5|DRD1|DRD2|DRD3|DRD4|HRH1|HTR1A|HTR1D|HTR2A|HTR2C,neurology/psychiatry,schizophrenia
PALONOSETRON HCl,,Launched,serotonin receptor antagonist,HTR3A,gastroenterology,nausea|vomiting
Palonosetron HCl,,Launched,serotonin receptor antagonist,HTR3A,gastroenterology,nausea|vomiting
Pamidronate Disodium,,Launched,bone resorption inhibitor,FDPS,endocrinology|oncology|hematologic malignancy,hypercalcemia|Paget's disease|breast cancer|multiple myeloma
Pancuronium,Pavulon,Launched,acetylcholine receptor antagonist,CHRM2|CHRM3|CHRNA1|CHRNA2,critical care|neurology/psychiatry,endotracheal intubation|muscle relaxant
PANTOPRAZOLE SODIUM SALT,,Launched,ATPase inhibitor,ATP4A,gastroenterology,gastroesophageal reflux disease (GERD)|erosive esophagitis (EE)|Zollinger-Ellison syndrome
Pantothenic acid,pantothenate ,Launched,coenzyme A precursor,,,
PAROXETINE HCl,,Launched,selective serotonin reuptake inhibitor (SSRI),CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|HTR2A|SLC6A2|SLC6A4,neurology/psychiatry,depression|obsessive compulsive disorder (OCD)|generalized anxiety disorder (GAD)|panic disorders|posttraumatic stress disorder|social anxiety disorder
Paroxetine HCl,,Launched,selective serotonin reuptake inhibitor (SSRI),CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|HTR2A|SLC6A2|SLC6A4,neurology/psychiatry,depression|obsessive compulsive disorder (OCD)|generalized anxiety disorder (GAD)|panic disorders|posttraumatic stress disorder|social anxiety disorder
Pazopanib HCl,,Launched,KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor,CSF1R|FGF1|FGFR1|FGFR3|FLT1|FLT4|ITK|KDR|KIT|PDGFRA|PDGFRB|SH2B3,oncology,renal cell carcinoma (RCC)|soft tissue sarcoma (STS)
Pazopanib HCl,,Launched,KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor,CSF1R|FGF1|FGFR1|FGFR3|FLT1|FLT4|ITK|KDR|KIT|PDGFRA|PDGFRB|SH2B3,oncology,renal cell carcinoma (RCC)|soft tissue sarcoma (STS)
Pefloxacin mesylate,,Launched,bacterial DNA gyrase inhibitor,TOP2A,infectious disease|urology,gastrointestinal infections|urethritis|gonorrhea|urinary tract infections
Pemetrexed,,Launched,dihydrofolate reductase inhibitor|thymidylate synthase inhibitor,ATIC|DHFR|GART|TYMS,oncology,non-small cell lung cancer (NSCLC)|mesothelioma
pemetrexed disodium,,Launched,dihydrofolate reductase inhibitor|thymidylate synthase inhibitor,ATIC|DHFR|GART|TYMS,oncology,non-small cell lung cancer (NSCLC)|mesothelioma
PENCICLOVIR,,Launched,DNA directed DNA polymerase inhibitor,,dental,cold sore
Peramivir Trihydrate,,Launched,neuraminidase inhibitor,,infectious disease,influenza A virus infection
Perindopril Erbumine,Aceon ,Launched,angiotensin converting enzyme inhibitor,ACE,cardiology,hypertension|myocardial infarction|coronary artery disease (CAD)
Perindopril Erbumine,Aceon ,Launched,angiotensin converting enzyme inhibitor,ACE,cardiology,hypertension|myocardial infarction|coronary artery disease (CAD)
Phenacetin,,Withdrawn,cyclooxygenase inhibitor,PTGS1,,
Phenindione,Rectadione ,Launched,vitamin K antagonist,VKORC1,hematology,deep vein thrombosis (DVT)
Phenoxybenzamine HCl,,Launched,adrenergic receptor antagonist,ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|ADRB2|CALM1,cardiology|endocrinology,hypertension|pheochromocytoma
PHENPROBAMATE,,Launched,muscle relaxant,,neurology/psychiatry,anxiety|muscle relaxant
Phentolamine mesilate,,Launched,adrenergic receptor antagonist,ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C,endocrinology|cardiology,pheochromocytoma|hypertension
Phenylbutazone,"Butazolidin, Butatron",Withdrawn,cyclooxygenase inhibitor|prostanoid receptor antagonist,PTGIS|PTGS1|PTGS2,neurology/psychiatry,pain relief
Phenylephrine HCl,,Launched,adrenergic receptor agonist,ADRA1A|ADRA1B|ADRA1D,otolaryngology|gastroenterology|cardiology,nasal congestion|hemorrhoids|hypotension
Phenytoin,Lepitoin ,Launched,hydantoin antiepileptic,SCN10A|SCN11A|SCN1A|SCN2A|SCN3A|SCN4A|SCN5A|SCN7A|SCN8A|SCN9A,neurology/psychiatry,seizures
Phenytoin sodium,Dilantin ,Launched,hydantoin antiepileptic,SCN10A|SCN11A|SCN1A|SCN2A|SCN3A|SCN4A|SCN5A|SCN7A|SCN8A|SCN9A,neurology/psychiatry,seizures
PIDOTIMOD,,Launched,interferon receptor agonist|interleukin receptor agonist,,infectious disease,immune adjuvant
Pimecrolimus,,Launched,calcineurin inhibitor,FKBP1A|MTOR,dermatology,eczema
Pimobendan,Vetmedin ,Launched,calcium sensitizer|phosphodiesterase inhibitor,PDE3A,cardiology,congestive heart failure
PIOGLITAZONE HCl,,Launched,insulin sensitizer|PPAR receptor agonist,PPARG|TRPM3,endocrinology,diabetes mellitus
Pioglitazone HCl,Actos ,Launched,insulin sensitizer|PPAR receptor agonist,PPARG|TRPM3,endocrinology,diabetes mellitus
Pioglitazone HCl,Actos ,Launched,insulin sensitizer|PPAR receptor agonist,PPARG|TRPM3,endocrinology,diabetes mellitus
PIPERACILLIN,,Launched,bacterial cell wall synthesis inhibitor,,infectious disease,intra-abdominal infections|skin infections|pelvic inflammatory disease|pneumonia
Piroxicam,Feldene,Launched,cyclooxygenase inhibitor,PTGS1|PTGS2,rheumatology,osteoarthritis|rheumatoid arthritis
Pitavastatin calcium,Livalo,Launched,HMGCR inhibitor,HMGCR,endocrinology,hyperlipidemia
PITOFENONE HCl,,,antispasmodic,,,
PIZOTIFEN,,Launched,serotonin receptor antagonist,HTR1A|HTR2A|HTR2C,neurology/psychiatry,migraine headache
Pizotifen malate,,Launched,serotonin receptor antagonist,HTR1A|HTR2A|HTR2C,neurology/psychiatry,migraine headache
Plerixafor 8HCl,DB06809,Launched,CC chemokine receptor antagonist,ACKR3|CCR4|CXCR4,hematologic malignancy,non-Hodgkin lymphoma (NHL)|multiple myeloma
PMSF,Phenylmethylsulfonyl Fluoride ,Preclinical,serine protease inhibitor,,,
Posaconazole,,Launched,sterol demethylase inhibitor,CYP3A4,infectious disease,oropharyngeal candidiasis
Potassium iodide,,Launched,,,pulmonary,asthma|bronchitis|emphysema
Pralatrexate,Folotyn ,Launched,dihydrofolate reductase inhibitor,DHFR|TYMS,hematologic malignancy,peripheral T-cell lymphoma (PTCL)
Pramipexole dihydrochloride monohydrate,,Launched,dopamine receptor agonist,ADRA2A|ADRA2B|ADRA2C|DRD1|DRD2|DRD3|DRD4|DRD5|HTR1A|HTR1B|HTR1D|HTR2A|HTR2B|HTR2C,neurology/psychiatry,Parkinson's Disease
Pramipexole dihydrochloride monohydrate,,Launched,dopamine receptor agonist,ADRA2A|ADRA2B|ADRA2C|DRD1|DRD2|DRD3|DRD4|DRD5|HTR1A|HTR1B|HTR1D|HTR2A|HTR2B|HTR2C,neurology/psychiatry,Parkinson's Disease
PRAMIPEXOLE HCl,,Launched,dopamine receptor agonist,ADRA2A|ADRA2B|ADRA2C|DRD1|DRD2|DRD3|DRD4|DRD5|HTR1A|HTR1B|HTR1D|HTR2A|HTR2B|HTR2C,neurology/psychiatry,Parkinson's Disease
Pramiracetam,,Launched,acetylcholine receptor agonist,,,
Pranlukast,,Launched,leukotriene receptor antagonist,CYSLTR1|CYSLTR2|IL5|MUC2|NFKB1|RNASE3|TNF,pulmonary,bronchospasm|asthma|bronchospasm|asthma
Pranoprofen,,Launched,cyclooxygenase inhibitor,,neurology/psychiatry,pain relief
Prasugrel,Effient,Launched,purinergic receptor antagonist,P2RY12,cardiology,myocardial infarction|acute coronary syndrome (ACS)
PRAVASTATIN Sodium,,Launched,HMGCR inhibitor,HMGCR|SLCO1B1,endocrinology|cardiology,hypercholesterolemia|myocardial infarction|hyperlipidemia
Pravastatin sodium,,Launched,HMGCR inhibitor,HMGCR|SLCO1B1,endocrinology|cardiology,hypercholesterolemia|myocardial infarction|hyperlipidemia
Praziquantel,Biltricide ,Launched,anthelmintic agent,,infectious disease,gastrointestinal parasites|cystic hydatid disease|schistosomiasis
Prednisolone,Hydroretrocortine,Launched,glucocorticoid receptor agonist,NR3C1|NR3C2|SERPINA6,ophthalmology|dermatology|infectious disease,conjunctivitis|rosacea|punctate keratitis|shingles|iritis|cyclitis
Prednisolone acetate,Omnipred ,Launched,glucocorticoid receptor agonist,NR3C1,ophthalmology|dermatology|infectious disease,conjunctivitis|rosacea|punctate keratitis|shingles|iritis|cyclitis
Prednisone,Adasone,Launched,glucocorticoid receptor agonist,HSD11B1|NR3C1,endocrinology|rheumatology|infectious disease|dermatology|ophthalmology|hematology|gastroenterology|neurology/psychiatry,congenital adrenal hyperplasia|hypercalcemia|rheumatoid arthritis|psoriatic arthritis|ankylosing spondylitis|bursitis|osteoarthritis|epicondylitis|dermatomyositis|psoriasis|mycosis|conjunctivitis|anemia|ulcerative colitis|enteritis|multiple sclerosis|meningitis
Pregnenolone,,Launched,glutamate receptor modulator,CYP17A1|SULT2B1,,
Prilocaine,,Launched,local anesthetic,SCN10A|SCN11A|SCN1A|SCN2A|SCN3A|SCN4A|SCN5A|SCN7A|SCN8A|SCN9A,neurology/psychiatry,anesthetic
PRIMAQUINE PHOSPHATE,,Launched,antimalarial agent|DNA inhibitor,KRT7|NQO2,infectious disease,malaria
Primidone,Mysoline,Launched,GABA receptor antagonist,CHRNA4|CHRNA7|GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ|GRIA2|GRIK2|SCN10A|SCN11A|SCN1A|SCN2A|SCN3A|SCN4A|SCN5A|SCN7A|SCN8A|SCN9A,neurology/psychiatry,seizures
Probucol,,Launched,atherogenesis inhibitor,ABCA1|ABCB11|CES1,cardiology,coronary artery disease (CAD)
PROCARBAZINE HCl,,Launched,monoamine oxidase inhibitor,,hematologic malignancy,Hodgkin's lymphoma
Procarbazine HCl,Matulane ,Launched,monoamine oxidase inhibitor,,hematologic malignancy,Hodgkin's lymphoma
Progesterone,Prometrium,Launched,progesterone receptor agonist,CATSPER1|CATSPER2|CATSPER3|CATSPER4|CYP17A1|ESR1|NR3C2|OPRK1|PGR|TRPC5,obstetrics/gynecology|endocrinology,infertility|amenorrhea
Propafenone,Rytmonorm ,Launched,antiarrhythmic,ADRB1|ADRB2|KCNA5|KCNH2|SCN5A,cardiology,atrial fibrillation (AF)|ventricular tachycardia (VT)|ventricular arrhythmias
Proparacaine HCl,,Launched,analgesic agent,,,
Propylthiouracil,,Launched,thyroid peroxidase inhibitor,DIO1|TPO,endocrinology,hyperthyroidism|Grave's disease|goiter
Protionamide,Prothionamide ,Launched,,,infectious disease,tuberculosis
Pyrazinamide,Pyrazinoic acid amide,Launched,fatty acid synthase inhibitor,FASN,infectious disease,tuberculosis
Pyridostigmine Bromide,Mestinon,Launched,cholinesterase inhibitor,ACHE|BCHE,neurology/psychiatry,myasthenia gravis
Pyrimethamine,,Launched,dihydrofolate reductase inhibitor,DHFR|SLC47A1,infectious disease,malaria
QUETIAPINE FUMARATE,,Launched,dopamine receptor antagonist|serotonin receptor antagonist,ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|DRD1|DRD2|DRD3|DRD4|DRD5|HRH1|HTR1A|HTR1B|HTR1D|HTR1E|HTR1F|HTR2A|HTR2C|HTR3A|HTR6|HTR7|SLC6A2,neurology/psychiatry,schizophrenia|bipolar disorder
Quetiapine fumarate,Seroquel,Launched,dopamine receptor antagonist|serotonin receptor antagonist,ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|DRD1|DRD2|DRD3|DRD4|DRD5|HRH1|HTR1A|HTR1B|HTR1D|HTR1E|HTR1F|HTR2A|HTR2C|HTR3A|HTR6|HTR7|SLC6A2,neurology/psychiatry,schizophrenia|bipolar disorder
Quinapril HCl,Accupril ,Launched,angiotensin converting enzyme inhibitor,ACE,cardiology,hypertension|congestive heart failure|angioedema
Quinine hydrochloride dihydrate,,Launched,hemozoin biocrystallization inhibitor,GP9|KCNB2|KCNN4|SLC29A4,infectious disease,malaria
R-baclofen,,Preclinical,benzodiazepine receptor agonist,GABBR1|GABBR2,,
R-baclofen,,Preclinical,benzodiazepine receptor agonist,GABBR1|GABBR2,neurology/psychiatry,
RABEPRAZOLE,,Launched,ATPase inhibitor|gastrin inhibitor,ATP4A,gastroenterology,gastroesophageal reflux disease (GERD)|duodenal ulcer disease|Zollinger-Ellison syndrome
RACECADOTRIL,,Launched,enkephalinase inhibitor,MME,gastroenterology,diarrhea
Racecadotril,Acetorphan,Launched,enkephalinase inhibitor,MME,gastroenterology,diarrhea
RACTOPAMINE HCl,,Launched,adrenergic receptor agonist,,,
RAFOXINIDE,RAFOXANIDE,Launched,anthelminthic,,infectious disease,
Raltegravir,MK-0518,Launched,HIV integrase inhibitor,,infectious disease,human immunodeficiency virus (HIV-1)
RALTITREXED,,Launched,thymidylate synthase inhibitor,FPGS|TYMS,oncology,mesothelioma
Ramelteon,TAK-375,Launched,melatonin receptor agonist,MTNR1A|MTNR1B,neurology/psychiatry,insomnia
RAMIPRIL,,Launched,angiotensin converting enzyme inhibitor,ACE,cardiology,hypertension
Ramipril,Altace,Launched,angiotensin converting enzyme inhibitor,ACE,cardiology,hypertension
RAMOSETRON HCl,,Launched,serotonin receptor antagonist,HTR3A,gastroenterology,nausea|vomiting|irritable bowel syndrome
Ranitidine,Zantac,Launched,histamine receptor antagonist,HRH2,gastroenterology,heartburn
Ranolazine,Ranexa ,Launched,sodium channel blocker,SCN10A|SCN4A|SCN5A|SCN9A,cardiology,chronic stable angina
Ranolazine,Ranexa,Launched,sodium channel blocker,SCN10A|SCN4A|SCN5A|SCN9A,cardiology,chronic stable angina
RAPAMYCIN,,Launched,mTOR inhibitor,FGF2|FKBP1A|MTOR,transplant|pulmonary,organ rejection|lymphangioleiomyomatosis
Rapamycin,Sirolimus,Launched,mTOR inhibitor,FGF2|FKBP1A|MTOR,transplant|pulmonary,organ rejection|lymphangioleiomyomatosis
Rasagiline mesylate,,Launched,monoamine oxidase inhibitor,BCL2|MAOB,neurology/psychiatry,Parkinson's Disease
REBAMIPIDE,,Launched,free radical scavenger,FPR1,gastroenterology,peptic ulcer disease (PUD)|gastritis
Rebamipide,,Launched,free radical scavenger,FPR1,gastroenterology,peptic ulcer disease (PUD)|gastritis
REPAGLINIDE,,Launched,insulin secretagogue,ABCC8|KCNJ11|PPARG,endocrinology,diabetes mellitus
Repaglinide,,Launched,insulin secretagogue,ABCC8|KCNJ11|PPARG,endocrinology,diabetes mellitus
Reserpine,,Launched,vesicular monoamine transporter inhibitor,SLC18A1|SLC18A2,cardiology,hypertension
Resveratrol,,Launched,cytochrome P450 inhibitor|SIRT activator,CSNK2A1|NQO2|PTGS1|PTGS2,,
RETINAMIDE,,,,,,
Ribavirin,Copegus ,Launched,antiviral,ADK|ENPP1|IMPDH1|IMPDH2|NT5C2,infectious disease,hepatitis C
Riboflavin,Vitamin B2,Launched,vitamin B2,BLVRB|RFK,gastroenterology,jaundice
RIBOSTAMYCIN SULPHATE,,Launched,bacterial 30S ribosomal subunit inhibitor,P4HB,infectious disease,gram-negative bacterial infections
RIFABUTIN,,Launched,protein synthesis inhibitor,HSP90AA1|HSP90B1,infectious disease,human immunodeficiency virus (HIV-1)
Rifabutin,Mycobutin,Launched,protein synthesis inhibitor,HSP90AA1|HSP90B1,infectious disease,human immunodeficiency virus (HIV-1)
Rifampin,"Rifadin, Rimactane ",Launched,RNA polymerase inhibitor,NR1I2|SLCO1A2|SLCO1B1|SLCO1B3,infectious disease,tuberculosis|meningitis
Rifampin,"Rifadin, Rimactane ",Launched,RNA polymerase inhibitor,NR1I2|SLCO1A2|SLCO1B1|SLCO1B3,infectious disease,tuberculosis|meningitis
RIFAPENTINE,,Launched,RNA polymerase inhibitor,CYP2C8|CYP2C9|CYP3A4,infectious disease,tuberculosis
Rifapentine,Priftin,Launched,RNA polymerase inhibitor,CYP2C8|CYP2C9|CYP3A4,infectious disease,tuberculosis
RIFAXIMIN,,Launched,RNA synthesis inhibitor,NR1I2,gastroenterology,diarrhea|irritable bowel syndrome|hepatic encephalopathy (HE)
Rifaximin,Xifaxan ,Launched,RNA synthesis inhibitor,NR1I2,gastroenterology,diarrhea|irritable bowel syndrome|hepatic encephalopathy (HE)
Riluzole,Rilutek,Launched,glutamate inhibitor,KCNK10|KCNK2|KCNK4|KCNN4|SCN10A|SCN11A|SCN1A|SCN2A|SCN3A|SCN4A|SCN5A|SCN7A|SCN8A|SCN9A|SLC7A11,neurology/psychiatry,amyotrophic lateral sclerosis (ALS)
Rimantadine,Flumadine ,Launched,antiviral|RNA synthesis inhibitor,,infectious disease,influenza A virus infection
rimonabant,,Withdrawn,cannabinoid receptor antagonist,CNR1|GPR55,,
Rimonabant,SR141716,Withdrawn,cannabinoid receptor antagonist,CNR1|GPR55,,
RISEDRONATE Sodium,,Launched,osteoclast inhibitor,FDPS,orthopedics|endocrinology,osteoporosis|Paget's disease
Risedronate sodium,,Launched,osteoclast inhibitor,FDPS,orthopedics|endocrinology,osteoporosis|Paget's disease
Risedronic acid,Actonel ,,,,,
Risperidone,Risperdal,Launched,dopamine receptor antagonist|serotonin receptor antagonist,ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|DRD1|DRD2|DRD3|DRD4|HRH1|HTR1A|HTR1B|HTR1D|HTR1E|HTR1F|HTR2A|HTR2C|HTR6|HTR7,neurology/psychiatry,schizophrenia|bipolar disorder|irritability
Ritodrine hydrochloride,Yutopar ,Launched,adrenergic receptor agonist,ADRB2,obstetrics/gynecology,premature labor
RITONAVIR,,Launched,HIV protease inhibitor,CYP1A2|CYP2B6|CYP2C19|CYP2C8|CYP2C9|CYP2D6|CYP2E1|CYP3A4|CYP3A5|CYP3A7,infectious disease,human immunodeficiency virus (HIV-1)
Ritonavir,,Launched,HIV protease inhibitor,CYP1A2|CYP2B6|CYP2C19|CYP2C8|CYP2C9|CYP2D6|CYP2E1|CYP3A4|CYP3A5|CYP3A7,infectious disease,human immunodeficiency virus (HIV-1)
Rivastigmine tartrate,Exelon ,Launched,acetylcholinesterase inhibitor,ACHE|BCHE,neurology/psychiatry,Alzheimer's disease|Parkinson's Disease|senile dementia
RIZATRIPTAN BENZOATE,,Launched,serotonin receptor agonist,HTR1A|HTR1B|HTR1D|HTR1E|HTR1F,neurology/psychiatry,migraine headache
Rizatriptan Benzoate,Hydroretrocortine,Launched,serotonin receptor agonist,HTR1A|HTR1B|HTR1D|HTR1E|HTR1F,neurology/psychiatry,migraine headache
Rocuronium bromide,,Launched,acetylcholine receptor antagonist,CHRM2|CHRNA2|HTR3A,neurology/psychiatry,anesthetic
ROFECOXIB,,Withdrawn,cyclooxygenase inhibitor,ELN|PTGS2,,
Rofecoxib,Vioxx ,Withdrawn,cyclooxygenase inhibitor,ELN|PTGS2,,
Roflumilast,Daxas ,Launched,phosphodiesterase inhibitor,PDE4A|PDE4B|PDE4C|PDE4D,pulmonary,chronic obstructive pulmonary disease (COPD)|bronchitis
ROPIVACAINE,,Launched,sodium channel blocker,SCN10A,neurology/psychiatry,anesthetic
ROSIGLITAZONE MALEATE,,Withdrawn,insulin sensitizer|PPAR receptor agonist,ACSL4|FFAR1|PPARG|TRPC5|TRPM3,,
ROSIGLITAZONE MALEATE,,Withdrawn,insulin sensitizer|PPAR receptor agonist,ACSL4|FFAR1|PPARG|TRPC5|TRPM3,,
Rosiglitazone maleate,,Withdrawn,insulin sensitizer|PPAR receptor agonist,ACSL4|FFAR1|PPARG|TRPC5|TRPM3,,
Rosiglitazone maleate,,Withdrawn,insulin sensitizer|PPAR receptor agonist,ACSL4|FFAR1|PPARG|TRPC5|TRPM3,,
Rosiglitazone maleate,,Withdrawn,insulin sensitizer|PPAR receptor agonist,ACSL4|FFAR1|PPARG|TRPC5|TRPM3,,
ROSUVASTATIN Ca,,Launched,HMGCR inhibitor,HMGCR,endocrinology|cardiology,hyperlipidemia|dyslipidemia|hypertriglyceridemia|hypercholesterolemia|atherosclerosis
Rosuvastatin calcium,Crestor ,Launched,HMGCR inhibitor,HMGCR,endocrinology|cardiology,hyperlipidemia|dyslipidemia|hypertriglyceridemia|hypercholesterolemia|atherosclerosis
Roxatidine acetate HCl,,Launched,histamine receptor antagonist,HRH2,gastroenterology,Zollinger-Ellison syndrome|erosive esophagitis (EE)|gastroesophageal reflux disease (GERD)|gastritis
ROXITHROMYCIN,,Launched,bacterial 50S ribosomal subunit inhibitor,ABCB1|MLNR,infectious disease,respiratory tract infections|urinary tract infections|skin infections
Roxithromycin,Roxl-150,Launched,bacterial 50S ribosomal subunit inhibitor,ABCB1|MLNR,infectious disease,respiratory tract infections|urinary tract infections|skin infections
RUBETICAN,Rubitecan,Phase 3,topoisomerase inhibitor,TOP 1.00,oncology,pancreatic cancer
Rufinamide,Banzel,Launched,voltage-gated sodium channel blocker,GRM5|SCN10A|SCN11A|SCN1A|SCN2A|SCN3A|SCN4A|SCN5A|SCN7A|SCN8A|SCN9A,neurology/psychiatry,seizures
RUFLOXACIN HCl,,Launched,bacterial DNA gyrase inhibitor,,infectious disease,gram-negative bacterial infections
S-Rolipram,,Preclinical,phosphodiesterase inhibitor,PDE4A|PDE4B|PDE4C|PDE4D|PDE5A,,
S-Rolipram,,Preclinical,phosphodiesterase inhibitor,PDE4A|PDE4B|PDE4C|PDE4D|PDE5A,,
Salbutamol sulfate,Albuterol,Launched,adrenergic receptor agonist,ADRB1|ADRB2,pulmonary,asthma
SAQUINAVIR,,Launched,HIV protease inhibitor,CYP3A4,infectious disease,human immunodeficiency virus (HIV-1)
SARAFLOXACIN HCl,,Launched,bacterial DNA gyrase inhibitor,,infectious disease,
Sarafloxacin HCl,,Launched,bacterial DNA gyrase inhibitor,,,
Saxagliptin,"BMS-477118,Onglyza",Launched,dipeptidyl peptidase inhibitor,DPP4,endocrinology,diabetes mellitus
Scopine,,Launched,,,,
Scopine,,Launched,,,,
Scopolamine hydrobromide,,Launched,acetylcholine receptor antagonist,,neurology/psychiatry|gastroenterology,motion sickness|vomiting|nausea
SECNIDAZOLE,,Launched,acetylcholinesterase inhibitor|microtubule inhibitor,,infectious disease,protozoan infection
SELEGILINE,,Launched,monoamine oxidase inhibitor,MAOA|MAOB,neurology/psychiatry,Parkinson's Disease
SERTRALINE HCl,,Launched,selective serotonin reuptake inhibitor (SSRI),SLC6A3|SLC6A4,neurology/psychiatry|obstetrics/gynecology,depression|obsessive compulsive disorder (OCD)|panic disorders|posttraumatic stress disorder|premenstrual syndrome|social anxiety disorder
